"source,""target"",""similarity"",""setnence_num_target"",""target_sent"",""source_sent""";;
"#Caesar_JC,""#Cassius_JC"",0.18731409744364,106,""The clock hath stricken three."",""Yet if my name were liable to fear, I do not know the man I should avoid So soon as that spare Cassius.""";;
"#Caesar_JC,""#Cassius_JC"",0.1934636942442,110,""The morning comes upon 's."",""Caesar is turned to hear.""";;
"#Caesar_JC,""#Cassius_JC"",0.194479483947653,82,""And I do know by this they stay for me In Pompey's Porch."",""What sayst thou to me now?""";;
"#Caesar_JC,""#Cassius_JC"",0.204958240019941,15,""Then must I think you would not have it so."",""Set on and leave no ceremony out.""";;
"#Caesar_JC,""#Cassius_JC"",0.208583808913385,60,""Those that have known the Earth so full of faults."",""Such men as he be never at heart's ease Whiles they behold a greater than themselves, And therefore are they very dangerous.""";;
"#Caesar_JC,""#Cassius_JC"",0.219218137978127,86,""No, it is Casca, one incorporate To our attempts."",""Caesar is turned to hear.""";;
"#Caesar_JC,""#Cassius_JC"",0.22989630682668,14,""Ay, do you fear it?"",""I hear a tongue shriller than all the music Cry ""Caesar."" Speak.""";;
"#Caesar_JC,""#Cassius_JC"",0.241177712699065,92,""That done, repair to Pompey's Theater."",""Caesar is turned to hear.""";;
"#Caesar_JC,""#Cassius_JC"",0.243769448357746,37,""When went there by an age, since the great flood, But it was famed with more than with one man?"",""Forget not in your speed, Antonius, To touch Calphurnia, for our elders say The barren, touchèd in this holy chase, Shake off their sterile curse.""";;
"#Caesar_JC,""#Cassius_JC"",0.245790299719762,18,""I cannot tell what you and other men Think of this life";" but, for my single self, I had as lief not be as live to be In awe of such a thing as I myself."",""What sayst thou to me now?""";
"#Caesar_JC,""#Brutus_JC"",0.115595219094859,101,""It is not for your health thus to commit Your weak condition to the raw cold morning."",""Let me have men about me that are fat, Sleek-headed men, and such as sleep a-nights.""";;
"#Caesar_JC,""#Brutus_JC"",0.190387034352279,111,""Would you were not sick!"",""Let me have men about me that are fat, Sleek-headed men, and such as sleep a-nights.""";;
"#Caesar_JC,""#Brutus_JC"",0.201063511212562,55,""Such instigations have been often dropped Where I have took them up."",""I rather tell thee what is to be feared Than what I fear";" for always I am Caesar.""";
"#Caesar_JC,""#Brutus_JC"",0.205026372466853,98,""Enjoy the honey-heavy dew of slumber."",""Let me have men about me that are fat, Sleek-headed men, and such as sleep a-nights.""";;
"#Caesar_JC,""#Brutus_JC"",0.210419918238748,103,""Good Portia, go to bed."",""Caesar is turned to hear.""";;
"#Caesar_JC,""#Brutus_JC"",0.215444178197486,140,""Or else were this a savage spectacle."",""The things that threatened me Ne'er looked but on my back.""";;
"#Caesar_JC,""#Brutus_JC"",0.216230421598511,60,""Go to the gate";" somebody knocks."",""Set on and leave no ceremony out.""";
"#Caesar_JC,""#Brutus_JC"",0.221211751669183,91,""By the eighth hour, is that the uttermost?"",""What sayst thou to me now?""";;
"#Caesar_JC,""#Brutus_JC"",0.230073404392948,53,""Look in the calendar, and bring me word."",""I hear a tongue shriller than all the music Cry ""Caesar."" Speak.""";;
