source;target;similarity;setnence_num_target;target_sent;source_sent
#Brutus_JC;#Cassius_JC;0,892672001;45;Who offered him the crown?;Was the crown offered him thrice?
#Casca_JC;#Cassius_JC;0,752910842;45;Who offered him the crown?;Why, there was a crown offered him
#Casca_JC;#Cassius_JC;0,751905755;117;If this be known, Cassius or Caesar never shall turn back, For I will slay myself.;Tis Caesar that you mean, is it not, Cassius?
#Caesar_JC;#Cassius_JC;0,741925764;116;-  Brutus, what shall be done?;Here's Decius Brutus
#Antony_JC;#Cassius_JC;0,71619016;105;Yet I fear him, For in the engrafted love he bears to Caesar -;Fear him not, Caesar
#Casca_JC;#Cassius_JC;0,715947575;79;I perhaps speak this Before a willing bondman;
#Brutus_JC;#Cassius_JC;0,711217385;53;Well, Brutus, thou art noble.;Till then, my noble friend, chew upon this: Brutus had rather be a villager Than to repute himself a son of Rome Under these hard conditions as this time Is like to lay upon us.
#Brutus_JC;#Cassius_JC;0,699245853;117;If this be known, Cassius or Caesar never shall turn back, For I will slay myself.;Since Cassius first did whet me against Caesar, I have not slept.
#Caesar_JC;#Cassius_JC;0,690155441;117;If this be known, Cassius or Caesar never shall turn back, For I will slay myself.;And Caesar shall go forth.
#Portia_JC;#Cassius_JC;0,683769463;130;Brutus, a word with you.;I should not need, if you were gentle Brutus.
#Caesar_JC;#Cassius_JC;0,679875547;130;Brutus, a word with you.;-  What, Brutus, are you stirred so early too?
#Brutus_JC;#Cassius_JC;0,676782145;116;-  Brutus, what shall be done?;O Rome, I make thee promise, If the redress will follow, thou receivest Thy full petition at the hand of Brutus.
#Portia_JC;#Cassius_JC;0,676324294;116;-  Brutus, what shall be done?;Brutus hath a suit That Caesar will not grant.
#Brutus_JC;#Cassius_JC;0,675630655;74;And why should Caesar be a tyrant, then?;I do fear the people Choose Caesar for their king.
#Brutus_JC;#Cassius_JC;0,674352901;118;Trebonius knows his time, for look you, Brutus, He draws Mark Antony out of the way.;And for Mark Antony, think not of him, For he can do no more than Caesar's arm When Caesar's head is off.
#Caesar_JC;#Cassius_JC;0,670892683;23;And this man Is now become a god, and Cassius is A wretched creature and must bend his body If Caesar carelessly but nod on him.;Caesar is turned to hear.
#Caesar_JC;#Cassius_JC;0,668055923;118;Trebonius knows his time, for look you, Brutus, He draws Mark Antony out of the way.;Here's Decius Brutus
#Casca_JC;#Cassius_JC;0,660430074;91;Is Decius Brutus and Trebonius there?;Tis Caesar that you mean, is it not, Cassius?
#Brutus_JC;#Cassius_JC;0,658932757;16;I know that virtue to be in you, Brutus, As well as I do know your outward favor.;But let not therefore my good friends be grieved (Among which number, Cassius, be you one) Nor construe any further my neglect Than that poor Brutus, with himself at war, Forgets the shows of love to other men.
#Caesar_JC;#Cassius_JC;0,655441569;124;Brutus shall lead, and we will grace his heels With the most boldest and best hearts of Rome.;Here's Decius Brutus
#Casca_JC;#Cassius_JC;0,654806334;74;And why should Caesar be a tyrant, then?;Tis Caesar that you mean, is it not, Cassius?
#Brutus_JC;#Cassius_JC;0,652269979;127;I blame you not for praising Caesar so.;Look how he makes to Caesar.
