source;target;similarity;setnence_num_target;target_sent;source_sent
#Casca_JC;#Cassius_JC;0,006655377;37;When went there by an age, since the great flood, But it was famed with more than with one man?;Bid every noise be still.
#Antony_JC;#Cassius_JC;0,027119663;15;Then must I think you would not have it so.;"When Caesar says ""Do this,"" it is performed."
#Casca_JC;#Cassius_JC;0,034604543;7;Tell me, good Brutus, can you see your face?;Bid every noise be still.
#Casca_JC;#Cassius_JC;0,042128924;19;I was born free as Caesar;
#Casca_JC;#Cassius_JC;0,042683752;33;"""Brutus"" and ""Caesar"" - what should be in that ""Caesar""?";Bid every noise be still.
#Casca_JC;#Cassius_JC;0,04650756;4;I have not from your eyes that gentleness And show of love as I was wont to have.;Bid every noise be still.
#Casca_JC;#Cassius_JC;0,052054066;26;His coward lips did from their color fly, And that same eye whose bend doth awe the world Did lose his luster.;Bid every noise be still.
#Antony_JC;#Cassius_JC;0,056423258;37;When went there by an age, since the great flood, But it was famed with more than with one man?;"When Caesar says ""Do this,"" it is performed."
#Casca_JC;#Cassius_JC;0,063130185;11;And since you know you cannot see yourself So well as by reflection, I, your glass, Will modestly discover to yourself That of yourself which you yet know not of.;Bid every noise be still.
#Antony_JC;#Cassius_JC;0,063887302;5;You bear too stubborn and too strange a hand Over your friend that loves you.;"When Caesar says ""Do this,"" it is performed."
#Casca_JC;#Cassius_JC;0,065247468;23;And this man Is now become a god, and Cassius is A wretched creature and must bend his body If Caesar carelessly but nod on him.;Bid every noise be still.
#Casca_JC;#Cassius_JC;0,072829826;18;I cannot tell what you and other men Think of this life;
#Casca_JC;#Cassius_JC;0,074458954;24;He had a fever when he was in Spain, And when the fit was on him, I did mark How he did shake.;Bid every noise be still.
#Antony_JC;#Cassius_JC;0,085464066;18;I cannot tell what you and other men Think of this life;
#Antony_JC;#Cassius_JC;0,088742116;100;Shall I entreat a word?;He is a noble Roman, and well given.
#Antony_JC;#Cassius_JC;0,098284954;88;Am I not stayed for?;Fear him not, Caesar
#Antony_JC;#Cassius_JC;0,101831665;106;The clock hath stricken three.;Fear him not, Caesar
#Antony_JC;#Cassius_JC;0,103885661;82;And I do know by this they stay for me In Pompey's Porch.;"When Caesar says ""Do this,"" it is performed."
#Antony_JC;#Cassius_JC;0,114296097;60;Those that have known the Earth so full of faults.;He is a noble Roman, and well given.
#Antony_JC;#Cassius_JC;0,116316405;29;You gods, it doth amaze me A man of such a feeble temper should So get the start of the majestic world And bear the palm alone.;"When Caesar says ""Do this,"" it is performed."
#Brutus_JC;#Cassius_JC;0,174645567;5;You bear too stubborn and too strange a hand Over your friend that loves you.;Let me not hinder, Cassius, your desires.
#Caesar_JC;#Cassius_JC;0,187314097;106;The clock hath stricken three.;Yet if my name were liable to fear, I do not know the man I should avoid So soon as that spare Cassius.
#Caesar_JC;#Cassius_JC;0,193463694;110;The morning comes upon 's.;Caesar is turned to hear.
#Caesar_JC;#Cassius_JC;0,194479484;82;And I do know by this they stay for me In Pompey's Porch.;What sayst thou to me now?
#Caesar_JC;#Cassius_JC;0,20495824;15;Then must I think you would not have it so.;Set on and leave no ceremony out.
#Caesar_JC;#Cassius_JC;0,208583809;60;Those that have known the Earth so full of faults.;Such men as he be never at heart's ease Whiles they behold a greater than themselves, And therefore are they very dangerous.
#Brutus_JC;#Cassius_JC;0,216613428;60;Those that have known the Earth so full of faults.;What is it that you would impart to me?
#Caesar_JC;#Cassius_JC;0,219218138;86;No, it is Casca, one incorporate To our attempts.;Caesar is turned to hear.
