"source,""target"",""similarity"",""setnence_num_target"",""target_sent"",""source_sent""";
"#Bottom_MND,""#Demetrius_MND"",0.497898933876496,43,""No, sir, she shall not, though you take her part."",""Methinks, mistress, you should have little reason for that.""";
"#Bottom_MND,""#Demetrius_MND"",0.502442035248147,46,""Nay, I'll go with thee, cheek by jowl."",""Stay thou but here awhile, And by and by I will to thee appear.""";
"#Bottom_MND,""#Demetrius_MND"",0.503398985169239,45,""For if thou dost intend Never so little show of love to her, Thou shalt aby it."",""Stay thou but here awhile, And by and by I will to thee appear.""";
"#Bottom_MND,""#Demetrius_MND"",0.512038594652771,65,""One lion may when many asses do."",""a lion among ladies is a most dreadful thing.""";
"#Bottom_MND,""#Demetrius_MND"",0.526584598176344,51,""Thou shalt buy this dear If ever I thy face by daylight see."",""Stay thou but here awhile, And by and by I will to thee appear.""";
"#Bottom_MND,""#Demetrius_MND"",0.55859463534188,47,""Thou runaway, thou coward, art thou fled?"",""Stay thou but here awhile, And by and by I will to thee appear.""";
"#Bottom_MND,""#Demetrius_MND"",0.558767614534147,74,""A mote will turn the balance, which Pyramus, which Thisbe, is the better: he for a man, God warrant us";" she for a woman, God bless us."",""What is Pyramus - a lover or a tyrant?"""
"#Bottom_MND,""#Demetrius_MND"",0.566934821574031,49,""Abide me, if thou dar'st, for well I wot Thou runn'st before me, shifting every place, And dar'st not stand nor look me in the face."",""Stay thou but here awhile, And by and by I will to thee appear.""";
"#Bottom_MND,""#Demetrius_MND"",0.595750328957862,24,""Here, therefore, for a while I will remain."",""Stay thou but here awhile, And by and by I will to thee appear.""";
"#Bottom_MND,""#Demetrius_MND"",0.596319917462679,66,""It is the wittiest partition that ever I heard discourse, my lord."",""Masters, I am to discourse wonders.""";
"#RobinGoodfellow_MND,""#Demetrius_MND"",0.450429868378093,55,""But, my good lord, I wot not by what power (But by some power it is) my love to Hermia, Melted as the snow, seems to me now As the remembrance of an idle gaud Which in my childhood I did dote upon, And all the faith, the virtue of my heart, The object and the pleasure of mine eye, Is only Helena."",""Captain of our fairy band, Helena is here at hand, And the youth, mistook by me, Pleading for a lover's fee.""";
"#RobinGoodfellow_MND,""#Demetrius_MND"",0.453041185941857,45,""For if thou dost intend Never so little show of love to her, Thou shalt aby it."",""When thou wak'st, let love forbid Sleep his seat on thy eyelid.""";
"#RobinGoodfellow_MND,""#Demetrius_MND"",0.475313388540678,60,""Are you sure That we are awake?"",""So, awake when I am gone, For I must now to Oberon.""";
"#RobinGoodfellow_MND,""#Demetrius_MND"",0.478408927918203,69,""Not so, my lord, for his valor cannot carry his discretion, and the fox carries the goose."",""When they him spy, As wild geese that the creeping fowler eye, Or russet-pated choughs, many in sort, Rising and cawing at the gun's report, Sever themselves and madly sweep the sky, So at his sight away his fellows fly, And, at our stamp, here o'er and o'er one falls.""";
"#RobinGoodfellow_MND,""#Demetrius_MND"",0.496006255377504,48,""Where dost thou hide thy head?"",""When thou wak'st, let love forbid Sleep his seat on thy eyelid.""";
"#RobinGoodfellow_MND,""#Demetrius_MND"",0.516261671680546,50,""Nay, then, thou mock'st me."",""Thou coward, art thou bragging to the stars, Telling the bushes that thou look'st for wars, And wilt not come?""";
"#RobinGoodfellow_MND,""#Demetrius_MND"",0.519292219551067,63,""Why, then, we are awake."",""So, awake when I am gone, For I must now to Oberon.""";
