"source,""target"",""similarity"",""setnence_num_target"",""target_sent"",""source_sent""";
"#Hermia_MND,""#Bottom_MND"",0.187897449072265,67,""Not so neither";" but if I had wit enough to get out of this wood, I have enough to serve mine own turn."",""With half that wish the wisher's eyes be pressed!"""
"#Hermia_MND,""#Bottom_MND"",0.191109936333476,92,""I had rather have a handful or two of dried peas."",""Why, then, you left me - O, the gods forbid!""";
"#Hermia_MND,""#Bottom_MND"",0.217445882718981,32,""I have a device to make all well."",""Help me, Lysander, help me!""";
"#Hermia_MND,""#Bottom_MND"",0.222817731471774,12,""Now name the rest of the players."",""Belike for want of rain, which I could well Beteem them from the tempest of my eyes.""";
"#Hermia_MND,""#Bottom_MND"",0.223792654208777,47,""Some man or other must present Wall."",""Then let us teach our trial patience Because it is a customary cross, As due to love as thoughts and dreams and sighs, Wishes and tears, poor fancy's followers.""";
"#Hermia_MND,""#Bottom_MND"",0.235230217817476,108,""I will tell you everything right as it fell out."",""Either death or you I'll find immediately.""";
"#Hermia_MND,""#Bottom_MND"",0.236988297287969,37,""Let it be written in eight and eight."",""Then let us teach our trial patience Because it is a customary cross, As due to love as thoughts and dreams and sighs, Wishes and tears, poor fancy's followers.""";
"#Hermia_MND,""#Bottom_MND"",0.244491386932942,27,""What beard were I best to play it in?"",""I would my father looked but with my eyes.""";
"#Hermia_MND,""#Bottom_MND"",0.248703719053514,53,""Why do they run away?"",""Methought a serpent ate my heart away, And you sat smiling at his cruel prey.""";
"#Hermia_MND,""#Bottom_MND"",0.251933658845302,75,""Good Master Mustardseed, I know your patience well."",""Do thy best To pluck this crawling serpent from my breast.""";
"#Hermia_MND,""#Demetrius_MND"",0.253656760782938,65,""One lion may when many asses do."",""I know not by what power I am made bold, Nor how it may concern my modesty In such a presence here to plead my thoughts";" But I beseech your Grace that I may know The worst that may befall me in this case If I refuse to wed Demetrius."""
"#Hermia_MND,""#Demetrius_MND"",0.25635745433744,53,""By day's approach look to be visited."",""-  In earnest, shall I say?""";
"#Hermia_MND,""#Demetrius_MND"",0.260520768725571,62,""Do not you think The Duke was here and bid us follow him?"",""It cannot be but thou hast murdered him.""";
"#Hermia_MND,""#Demetrius_MND"",0.261868966217692,59,""These things seem small and undistinguishable, Like far-off mountains turnèd into clouds."",""The sun was not so true unto the day As he to me.""";
"#Hermia_MND,""#Demetrius_MND"",0.269606758988685,20,""You spend your passion on a misprised mood."",""I swoon almost with fear.""";
"#Hermia_MND,""#Demetrius_MND"",0.271672448190015,58,""But, as in health, come to my natural taste, Now I do wish it, love it, long for it, And will forevermore be true to it."",""Thy love ne'er alter till thy sweet life end!""";
