;1;2;3;4;5;6;7;8;9;10;11;12;AVERAGE
1;1;0,829586775;-0,008008557;0,06690535;0,07601274;0,1271467;-0,02694038;0,02905234;0,02986416;-0,08702971;0,10591252;0,01445918;
2;0,829586775;1;0,00648908;0,03666859;0,12463119;0,1143462;0,0275724;0,02124262;0,004984203;-0,07673851;0,13496726;-0,04518876;
3;-0,008008557;0,00648908;1;0,56004357;0,26423799;0,4888256;0,32174811;0,52190448;0,321340379;0,29052575;0,26815988;0,13516954;
4;0,06690535;0,036668586;0,560043567;1;0,23795637;0,4367185;0,28198232;0,51490853;0,209597998;0,17967732;0,22900758;0,10189306;
5;0,076012741;0,12463119;0,26423799;0,23795637;1;0,388279;0,32420907;0,4306493;0,350932956;0,10653371;0,49784325;-0,02558088;
6;0,127146666;0,114346165;0,488825622;0,43671845;0,38827898;1;0,3224043;0,51789257;0,30128519;0,18391731;0,39810456;0,10686801;
7;-0,026940382;0,027572399;0,321748108;0,28198232;0,32420907;0,3224043;1;0,37167122;0,275346829;0,27897043;0,21277186;0,13175764;
8;0,029052339;0,021242624;0,521904479;0,51490853;0,4306493;0,5178926;0,37167122;1;0,291991189;0,13583432;0,30152288;0,08161441;
9;0,02986416;0,004984203;0,321340379;0,209598;0,35093296;0,3012852;0,27534683;0,29199119;1;0,6791278;0,25100024;0,14490249;
10;-0,08702971;-0,076738509;0,290525749;0,17967732;0,10653371;0,1839173;0,27897043;0,13583432;0,679127799;1;0,07952831;0,31969146;
11;0,105912517;0,134967265;0,268159875;0,22900758;0,49784325;0,3981046;0,21277186;0,30152288;0,251000243;0,07952831;1;-0,02017871;
12;0,01445918;-0,045188757;0,135169542;0,10189306;-0,02558088;0,106868;0,13175764;0,08161441;0,144902487;0,31969146;-0,02017871;1;
SD;0,335218153;0,335420324;0,2625041;0,260104657;0,255619655;0,236891513;0,244025252;0,266001506;0,262432204;0,295190599;0,253178941;0,270065208;0,273054343
;0,236349915;0,06723071;0,132602257;0,127752969;0,173415914;0,134304199;0,079458953;0,096009909;0,230927267;0,120081575;;;0,139813367
SD;0,190675149;;;;;;;;;;;;
SD;0,283169347;;;;;;;;;;;;
