;1;2;3;4;5;6;7;8;9;10;11;12;
1;1;0,851336317;0,04146966;0,10526456;0,05461214;0,12347563;-0,038996026;-0,0295128;-0,05425049;-0,06325161;0,10286651;0,03965158;
2;0,85133632;1;0,04255804;0,09202225;0,0854754;0,12546246;-0,007267989;-0,03834817;-0,07114573;-0,08713704;0,09068198;-0,03064033;
3;0,04146966;0,042558037;1;0,59193658;0,35909708;0,5208322;0,393856777;0,53125888;0,26484403;0,26287541;0,23264296;0,15608743;
4;0,10526456;0,092022253;0,59193658;1;0,34095881;0,46936715;0,331408094;0,53451151;0,19113665;0,13924401;0,18472541;0,01442591;
5;0,05461214;0,085475399;0,35909708;0,34095881;1;0,53883813;0,402293997;0,5324919;0,29849877;0,18822564;0,41814236;-0,01937267;
6;0,12347563;0,12546246;0,5208322;0,46936715;0,53883813;1;0,315436669;0,55473329;0,31426759;0,28177421;0,35750511;0,08753336;
7;-0,03899603;-0,007267989;0,39385678;0,33140809;0,402294;0,31543667;1;0,38694313;0,22364332;0,20504717;0,19246466;0,10314442;
8;-0,0295128;-0,03834817;0,53125888;0,53451151;0,5324919;0,55473329;0,386943128;1;0,25017552;0,1766603;0,26867735;0,04626431;
9;-0,05425049;-0,07114573;0,26484403;0,19113665;0,29849877;0,31426759;0,223643316;0,25017552;1;0,71599477;0,203745;0,06707328;
10;-0,06325161;-0,087137035;0,26287541;0,13924401;0,18822564;0,28177421;0,205047172;0,1766603;0,71599477;1;0,14479758;0,24238622;
11;0,10286651;0,090681981;0,23264296;0,18472541;0,41814236;0,35750511;0,192464656;0,26867735;0,203745;0,14479758;1;-0,02608813;
12;0,03965158;-0,030640326;0,15608743;0,01442591;-0,01937267;0,08753336;0,103144423;0,04626431;0,06707328;0,24238622;-0,02608813;1;
SD;0,341353936;0,345230188;0,257836714;0,268061084;0,26164422;0,241758179;0,256879603;0,288630629;0,289858874;0,292070892;0,24909833;0,270262093;0,280223729
;0,245071762;0,072525498;0,143692241;0,163617002;0,185326251;0,136656031;0,092190032;0,087415816;0,279320224;0,04879432;;;0,145460918
SD;0,20618806;;;;;;;;;;;;
SD;0,292914282;;;;;;;;;;;;
