;1;2;3;4;5;6;7;8;9;10;11;12;
1;1;0,77750642;-0,001286812;0,11772591;0,08564467;0,07981261;0,02909743;0,01561593;-0,01005048;-0,03337957;0,20815275;-0,01268669;
2;0,777506421;1;-0,022007288;0,09904134;0,0875268;0,09823346;0,0342612;0,02974515;-0,06114584;-0,06622657;0,1751878;-0,09424846;
3;-0,001286812;-0,02200729;1;0,63400413;0,28172224;0,51781694;0,29184871;0,51526327;0,23540407;0,276237;0,20224377;0,10726232;
4;0,117725915;0,09904134;0,634004134;1;0,34642892;0,59277805;0,30943753;0,58817902;0,27320266;0,21266554;0,22132197;0,03751533;
5;0,085644669;0,0875268;0,281722245;0,34642892;1;0,47868563;0,35020187;0,50088179;0,23838905;0,14666128;0,39409562;0,01295186;
6;0,079812608;0,09823346;0,517816943;0,59277805;0,47868563;1;0,37418678;0,67004656;0,3143815;0,27645853;0,25727077;0,13938857;
7;0,02909743;0,0342612;0,291848714;0,30943753;0,35020187;0,37418678;1;0,4068546;0,23020291;0,26841408;0,11509046;0,14706218;
8;0,01561593;0,02974515;0,515263266;0,58817902;0,50088179;0,67004656;0,4068546;1;0,24007093;0,12066964;0,20250889;0,05955286;
9;-0,010050477;-0,06114584;0,235404068;0,27320266;0,23838905;0,3143815;0,23020291;0,24007093;1;0,64721138;0,09427359;0,04913093;
10;-0,033379573;-0,06622657;0,276237004;0,21266554;0,14666128;0,27645853;0,26841408;0,12066964;0,64721138;1;0,06916734;0,22546998;
11;0,208152753;0,1751878;0,202243772;0,22132197;0,39409562;0,25727077;0,11509046;0,20250889;0,09427359;0,06916734;1;0,06143916;
12;-0,012686695;-0,09424846;0,107262315;0,03751533;0,01295186;0,13938857;0,14706218;0,05955286;0,04913093;0,22546998;0,06143916;1;
SD;0,323224815;0,332787923;0,277732109;0,269549729;0,253021748;0,257438182;0,244420558;0,291300942;0,281303903;0,283239663;0,242681179;0,269803185;0,277208661
;0,220418914;0,083367006;0,164194542;0,17689177;0,166172569;0,164251318;0,10273655;0,070322338;0,271922841;0,07815132;;;0,149842917
SD;0,200582029;;;;;;;;;;;;
SD;0,289494108;;;;;;;;;;;;
