;1;2;3;4;5;6;7;8;9;10;11;12;
1;1;0,76829795;0,04332306;0,1731669;0,15571688;0,1783023;0,04300418;0,01497743;-0,04444884;-0,01586948;0,24221134;-0,03478354;
2;0,76829795;1;0,09189703;0,2156387;0,16353174;0,2156177;0,1029231;0,05937045;-0,04365372;-0,01149861;0,20570001;-0,09666365;
3;0,04332306;0,09189703;1;0,5823691;0,35553292;0,534719;0,33430842;0,53529559;0,27447451;0,28896061;0,33945825;0,03558622;
4;0,17316692;0,21563865;0,58236911;1;0,34445523;0,6400421;0,32894238;0,61255022;0,30095312;0,32203154;0,2704627;0,0189729;
5;0,15571688;0,16353174;0,35553292;0,3444552;1;0,4788698;0,43922721;0,50295554;0,27269172;0,1758237;0,41482093;0,02155886;
6;0,17830227;0,2156177;0,534719;0,6400421;0,4788698;1;0,43028917;0,68545316;0,311957;0,30152411;0,34437337;0,13169566;
7;0,04300418;0,1029231;0,33430842;0,3289424;0,43922721;0,4302892;1;0,423483;0,37473019;0,31926767;0,21383442;0,18867342;
8;0,01497743;0,05937045;0,53529559;0,6125502;0,50295554;0,6854532;0,423483;1;0,30991551;0,24558133;0,28816293;0,14779696;
9;-0,04444884;-0,04365372;0,27447451;0,3009531;0,27269172;0,311957;0,37473019;0,30991551;1;0,6780243;0,16381057;0,11720964;
10;-0,01586948;-0,01149861;0,28896061;0,3220315;0,1758237;0,3015241;0,31926767;0,24558133;0,6780243;1;0,11583202;0,20456722;
11;0,24221134;0,20570001;0,33945825;0,2704627;0,41482093;0,3443734;0,21383442;0,28816293;0,16381057;0,11583202;1;-0,02193847;
12;-0,03478354;-0,09666365;0,03558622;0,0189729;0,02155886;0,1316957;0,18867342;0,14779696;0,11720964;0,20456722;-0,02193847;1;
SD;0,317742533;0,315129747;0,25987296;0,252895947;0,239813361;0,238568506;0,231735107;0,272091903;0,278045916;0,272648359;0,238649593;0,273718126;0,265909338
;0,219761699;0,106992918;0,159592077;0,184539879;0,166213791;0,167637038;0,09048989;0,062235474;0,254099825;0,0443676;;;0,145593019
SD;0,19870074;;;;;;;;;;;;
SD;0,280350397;;;;;;;;;;;;
