;1;2;3;4;5;6;7;8;9;10;11;12;
1;1;0,64330997;-0,02589618;0,22743066;0,1281096;0,21051294;0,04645775;0,07728453;0,10851112;0,06732169;0,32501757;-0,11543872;
2;0,64330997;1;-0,01442279;0,15515215;0,02087446;0,08228466;-0,07701689;-0,04748053;0,0227293;0,01485876;0,1438898;-0,05603879;
3;-0,02589618;-0,01442279;1;0,44365563;0,32626794;0,50056442;0,4019057;0,57749751;0,23379471;0,39048701;0,24368195;0,24518797;
4;0,22743066;0,15515215;0,44365563;1;0,33430214;0,54534446;0,17475582;0,48770089;0,09992783;0,17425384;0,24726896;-0,02919758;
5;0,1281096;0,02087446;0,32626794;0,33430214;1;0,3603423;0,49756935;0,38967064;0,33953995;0,36147413;0,4919139;0,03257229;
6;0,21051294;0,08228466;0,50056442;0,54534446;0,3603423;1;0,236116;0,60204297;0,2766418;0,30076023;0,40216314;0,13348776;
7;0,04645775;-0,07701689;0,4019057;0,17475582;0,49756935;0,236116;1;0,3420154;0,33198144;0,46225847;0,26127296;0,14760476;
8;0,07728453;-0,04748053;0,57749751;0,48770089;0,38967064;0,60204297;0,3420154;1;0,21556735;0,23386689;0,2234471;0,12673533;
9;0,10851112;0,0227293;0,23379471;0,09992783;0,33953995;0,2766418;0,33198144;0,21556735;1;0,58963107;0,18862491;0,21905835;
10;0,06732169;0,01485876;0,39048701;0,17425384;0,36147413;0,30076023;0,46225847;0,23386689;0,58963107;1;0,21297977;0,35429809;
11;0,32501757;0,1438898;0,24368195;0,24726896;0,4919139;0,40216314;0,26127296;0,2234471;0,18862491;0,21297977;1;0,07482008;
12;-0,11543872;-0,05603879;0,24518797;-0,02919758;0,03257229;0,13348776;0,14760476;0,12673533;0,21905835;0,35429809;0,07482008;1;
SD;0,298075418;0,313716039;0,26128406;0,259888736;0,24578072;0,240064123;0,260645885;0,272044595;0,251827569;0,250332212;0,2313736;0,27900182;0,263669565
;0,193042623;0,076328607;0,114911792;0,181165994;0,143687307;0,147314911;0,103375638;0,042739766;0,182286793;0,07065916;;;0,125551259
SD;0,183546761;;;;;;;;;;;;
SD;0,274179607;;;;;;;;;;;;
